StartDate,EndDate,Duration (in seconds),RecordedDate,Q1,Q13,Q13_3_TEXT,Q2,Q3,Q4,Q5,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q8_1,Q9_1,Q10,Q12,id_participant
Start Date,End Date,Duration (in seconds),Recorded Date,Participant ID,Where did you work for most of today? - Selected Choice,Where did you work for most of today? - Other - Text,Select a range for the total number of interactions (planned and spontaneous) you have had today.,Select a range for the number of spontaneous interactions you have had today.,Rate the perceived quality of your in-person interactions today.,Rate the perceived quality of your virtual interactions today.,"Approximately, what percentage of your total interactions from today were about each topic? - Work/School","Approximately, what percentage of your total interactions from today were about each topic? - Personal Life","Approximately, what percentage of your total interactions from today were about each topic? - Current Events","Approximately, what percentage of your total interactions from today were about each topic? - Sustainability","Approximately, what percentage of your total interactions from today were about each topic? - Other","Approximately what percentage of your interactions will change your choices and actions for the coming week? (e.g. new work tasks, advice for personal problems, future social plans) - 1",Approximately what percentage of your interactions had a positive effect on your mood/feelings? - 1,Did you have an opportunity to interact with the colleagues that you wanted/needed to?,How many people did you interact with today that you did not interact with yesterday?,id_participant
3/27/2023 19:01,3/27/2023 19:02,81,3/27/2023 19:02,thesh03,Office,,1 to 3,1 to 3,"3 (My interactions had little to no impact on my mood, work, or personal life)",,100,0,0,0,0,0,50,All,1 to 3,thesh03
3/27/2023 19:00,3/27/2023 19:03,180,3/27/2023 19:03,thesh02,Office,,4 to 6,1 to 3,"3 (My interactions had little to no impact on my mood, work, or personal life)",,40,40,20,0,0,0,50,Most,1 to 3,thesh02
3/28/2023 19:00,3/28/2023 19:02,146,3/28/2023 19:02,thesh02,Office,,1 to 3,1 to 3,4,"3 (My interactions had little to no impact on my mood, work, or personal life)",60,30,0,0,0,33,30,Some,1 to 3,thesh02
3/28/2023 19:02,3/28/2023 19:03,49,3/28/2023 19:03,thesh03,Office,,4 to 6,1 to 3,5 (My interactions positively impacted my mood and were valuable to my work or personal life),,100,0,0,0,0,0,50,All,1 to 3,thesh03
3/28/2023 19:22,3/28/2023 19:24,123,3/28/2023 19:24,thesh06,Office,,4 to 6,4 to 6,5 (My interactions positively impacted my mood and were valuable to my work or personal life),,50,30,0,0,0,10,60,Some,4 to 6,thesh06
3/28/2023 19:45,3/28/2023 20:33,2906,3/28/2023 20:33,thesh05,Office,,4 to 6,4 to 6,4,,70,30,0,0,0,30,100,All,7 to 10,thesh05
3/29/2023 0:41,3/29/2023 0:42,111,3/29/2023 0:42,thesh04,Office,,4 to 6,1 to 3,"3 (My interactions had little to no impact on my mood, work, or personal life)",,80,10,10,0,0,0,40,All,1 to 3,thesh04
3/29/2023 19:00,3/29/2023 19:01,77,3/29/2023 19:01,thesh03,Office,,4 to 6,4 to 6,4,,60,0,40,0,0,0,28,All,1 to 3,thesh03
3/29/2023 19:01,3/29/2023 19:02,83,3/29/2023 19:02,thesh06,Office,,4 to 6,4 to 6,5 (My interactions positively impacted my mood and were valuable to my work or personal life),4,80,60,0,0,0,40,60,Most,1 to 3,thesh06
3/29/2023 19:02,3/29/2023 19:04,113,3/29/2023 19:04,thesh05,Office,,4 to 6,1 to 3,2,2,90,10,0,0,0,12,0,All,7 to 10,thesh05
3/27/2023 14:15,3/29/2023 19:04,190155,3/29/2023 19:04,thesh02,Office,,4 to 6,1 to 3,4,2,80,20,0,0,0,50,30,All,1 to 3,thesh02
3/29/2023 19:05,3/29/2023 19:07,122,3/29/2023 19:07,thesh01,Remote,,4 to 6,1 to 3,5 (My interactions positively impacted my mood and were valuable to my work or personal life),"3 (My interactions had little to no impact on my mood, work, or personal life)",30,40,10,0,20,40,50,Most,1 to 3,thesh01
3/29/2023 20:22,3/29/2023 20:24,107,3/29/2023 20:24,thesh04,Office,,7 to 10,4 to 6,4,"3 (My interactions had little to no impact on my mood, work, or personal life)",80,20,0,0,0,0,50,All,1 to 3,thesh04
3/30/2023 19:00,3/30/2023 19:01,43,3/30/2023 19:01,thesh03,Office,,1 to 3,1 to 3,5 (My interactions positively impacted my mood and were valuable to my work or personal life),,70,30,0,0,0,0,29,All,1 to 3,thesh03
3/30/2023 19:00,3/30/2023 19:02,92,3/30/2023 19:02,thesh08,Office,,4 to 6,4 to 6,5 (My interactions positively impacted my mood and were valuable to my work or personal life),,20,70,10,0,0,30,81,Most,1 to 3,thesh08
3/30/2023 19:00,3/30/2023 19:02,119,3/30/2023 19:02,thesh07,Office,,7 to 10,4 to 6,2,,90,10,0,0,0,20,80,All,4 to 6,thesh07
3/30/2023 19:03,3/30/2023 19:05,110,3/30/2023 19:05,thesh05,Remote,,7 to 10,7 to 10,"3 (My interactions had little to no impact on my mood, work, or personal life)","3 (My interactions had little to no impact on my mood, work, or personal life)",20,80,0,0,0,0,50,All,1 to 3,thesh05
3/30/2023 19:05,3/30/2023 19:06,55,3/30/2023 19:06,thesh01,Not Working Today,,11+,11+,4,,10,50,0,0,40,30,30,Some,1 to 3,thesh01
3/30/2023 20:10,3/30/2023 20:11,49,3/30/2023 20:11,thesh06,Office,,4 to 6,4 to 6,5 (My interactions positively impacted my mood and were valuable to my work or personal life),4,70,80,0,0,0,70,80,Most,1 to 3,thesh06
3/30/2023 20:54,3/30/2023 20:56,84,3/30/2023 20:56,thesh02,Office,,4 to 6,4 to 6,"3 (My interactions had little to no impact on my mood, work, or personal life)",2,80,20,0,0,0,31,18,All,1 to 3,thesh02
3/31/2023 13:39,3/31/2023 13:41,118,3/31/2023 13:41,thesh09,Office,,4 to 6,1 to 3,5 (My interactions positively impacted my mood and were valuable to my work or personal life),4,60,50,50,0,0,70,80,Most,4 to 6,thesh09
3/31/2023 19:00,3/31/2023 19:01,47,3/31/2023 19:01,thesh09,Remote,,1 to 3,1 to 3,"3 (My interactions had little to no impact on my mood, work, or personal life)","3 (My interactions had little to no impact on my mood, work, or personal life)",60,50,0,0,0,60,60,Some,0,thesh09
3/31/2023 19:00,3/31/2023 19:04,230,3/31/2023 19:04,thesh07,Remote,,7 to 10,4 to 6,2,,80,20,0,0,0,30,0,None,0,thesh07
3/31/2023 19:10,3/31/2023 19:11,68,3/31/2023 19:11,thesh01,Remote,,4 to 6,1 to 3,"3 (My interactions had little to no impact on my mood, work, or personal life)",4,50,20,10,10,10,40,40,All,1 to 3,thesh01
3/31/2023 19:08,3/31/2023 19:51,2612,3/31/2023 19:51,thesh02,Office,,4 to 6,4 to 6,5 (My interactions positively impacted my mood and were valuable to my work or personal life),1 (My interactions negatively impacted my mood and were harmful to my work or personal life),40,60,0,0,0,60,20,Most,1 to 3,thesh02
3/31/2023 22:38,3/31/2023 22:39,65,3/31/2023 22:39,thesh06,Office,,1 to 3,1 to 3,5 (My interactions positively impacted my mood and were valuable to my work or personal life),4,70,40,0,0,0,50,70,Most,1 to 3,thesh06
3/31/2023 19:01,3/31/2023 22:47,13578,3/31/2023 22:47,thesh08,Remote,,4 to 6,4 to 6,4,4,20,80,0,0,0,31,90,None,1 to 3,thesh08
4/1/2023 4:56,4/1/2023 4:58,79,4/1/2023 4:58,thesh04,Office,,7 to 10,4 to 6,4,"3 (My interactions had little to no impact on my mood, work, or personal life)",80,20,0,0,0,0,40,Most,1 to 3,thesh04
4/3/2023 18:56,4/3/2023 18:57,52,4/3/2023 18:57,thesh03,Office,,4 to 6,4 to 6,5 (My interactions positively impacted my mood and were valuable to my work or personal life),,60,20,10,0,0,100,100,All,4 to 6,thesh03
4/3/2023 19:00,4/3/2023 19:00,48,4/3/2023 19:00,thesh05,Remote,,1 to 3,1 to 3,"3 (My interactions had little to no impact on my mood, work, or personal life)",,0,100,0,0,0,0,0,None,0,thesh05
