,ws_category,ws_value,ws_initiation,ws_focus
515,Collaboration,Yes,Yes,No
1186,Distraction,Yes,Yes,No
1329,Wanted Socialization,Yes,No,No
5342,Wanted Socialization,No,Yes,Partially
5560,Collaboration,Yes,Yes,No
5910,Wanted Socialization,Yes,No,Yes
6112,Collaboration,Yes,Yes,No
6423,Collaboration,Yes,No,Partially
6433,Wanted Socialization,Yes,Yes,No
7003,Distraction,Yes,Yes,Yes
7115,Collaboration,Yes,Yes,Partially
7144,Collaboration,No,No,No
7505,Distraction,No,No,Yes
7552,Distraction,No,No,Partially
10783,Distraction,No,Yes,Partially
11316,Wanted Socialization,Yes,Yes,No
11317,Collaboration,No,Yes,Yes
11329,Distraction,No,No,Partially
11676,Distraction,Yes,No,No
11996,Wanted Socialization,No,Yes,No
12021,Collaboration,Yes,Yes,No
12188,Distraction,No,No,Yes
12197,Distraction,No,Yes,No
12201,Collaboration,Yes,No,No
12468,Distraction,No,No,Yes
12479,Distraction,Yes,Yes,No
12480,Distraction,No,No,Partially
12515,Collaboration,Yes,Yes,No
12726,Collaboration,Yes,No,Partially
12727,Collaboration,No,No,No
12975,Collaboration,Yes,Yes,No
13144,Collaboration,No,No,Yes
13256,Collaboration,No,No,Yes
13338,Wanted Socialization,No,No,No
13623,Collaboration,Yes,No,Yes
16559,Collaboration,Yes,No,No
16604,Distraction,No,No,No
16887,Distraction,No,No,No
16897,Wanted Socialization,Yes,No,Yes
16942,Collaboration,Yes,No,Yes
17415,Collaboration,Yes,No,No
17417,Wanted Socialization,No,No,Yes
17420,Collaboration,No,Yes,No
17934,Wanted Socialization,Yes,Yes,Yes
17971,Wanted Socialization,No,No,Partially
18499,Distraction,No,No,No
18512,Collaboration,Yes,Yes,Yes
18592,Collaboration,Yes,No,Yes
18904,Collaboration,Yes,No,Yes
18907,Wanted Socialization,No,No,Yes
18927,Distraction,No,No,Yes
18967,Distraction,Yes,No,No
19337,Distraction,Yes,Yes,Yes
19338,Distraction,No,No,Partially
19353,Wanted Socialization,Yes,No,Yes
19832,Distraction,No,No,No
19879,Collaboration,Yes,No,No
19880,Collaboration,Yes,No,Partially
20084,Collaboration,Yes,Yes,Yes
20494,Collaboration,Yes,No,No
23933,Wanted Socialization,No,No,No
24265,Collaboration,Yes,No,No
24287,Collaboration,Yes,Yes,Partially
24757,Wanted Socialization,No,Yes,No
24761,Distraction,No,No,No
25317,Distraction,No,No,No
25367,Collaboration,Yes,Yes,No
25909,Wanted Socialization,Yes,Yes,No
26320,Collaboration,Yes,No,Partially
26679,Collaboration,Yes,No,Yes
26680,Distraction,Yes,No,No
27567,Distraction,No,No,No
36042,Collaboration,Yes,No,No
36287,Wanted Socialization,No,No,No
36539,Distraction,No,No,Partially
36869,Collaboration,Yes,No,No
36873,Collaboration,Yes,No,No
36876,Wanted Socialization,No,No,No
36938,Distraction,Yes,Yes,Yes
36964,Distraction,No,No,Yes
37214,Wanted Socialization,Yes,No,No
37739,Wanted Socialization,No,No,No
38146,Wanted Socialization,Yes,No,Partially
38170,Distraction,No,No,Yes
38992,Wanted Socialization,Yes,No,Partially
39317,Distraction,No,No,No
42847,Wanted Socialization,No,No,No
42862,Wanted Socialization,No,No,No
43067,Collaboration,Yes,Yes,No
43160,Collaboration,Yes,No,Yes
43168,Distraction,No,Yes,Yes
43222,Collaboration,Yes,Yes,No
44008,Wanted Socialization,Yes,Yes,Partially
44473,Wanted Socialization,Yes,No,No
44484,Collaboration,Yes,Yes,Partially
44487,Distraction,Yes,No,Partially
44505,Wanted Socialization,Yes,Yes,Partially
45021,Wanted Socialization,Yes,Yes,No
45086,Distraction,No,No,Yes
45089,Distraction,No,No,Yes
45092,Wanted Socialization,No,Yes,Yes
45093,Collaboration,No,No,Yes
45360,Wanted Socialization,Yes,Yes,No
45361,Distraction,Yes,Yes,Yes
45371,Wanted Socialization,Yes,No,Partially
45836,Distraction,No,Yes,Yes
45837,Wanted Socialization,Yes,No,Yes
45841,Distraction,Yes,Yes,Yes
46634,Distraction,Yes,No,Yes
46640,Distraction,No,No,Yes
47644,Distraction,Yes,Yes,Partially
48307,Wanted Socialization,No,Yes,Partially
51714,Wanted Socialization,Yes,Yes,Partially
51949,Distraction,Yes,Yes,No
51954,Distraction,No,No,No
52378,Wanted Socialization,Yes,Yes,No
52670,Collaboration,Yes,No,Partially
52671,Wanted Socialization,No,No,No
52867,Collaboration,Yes,Yes,No
52974,Collaboration,Yes,No,Partially
52996,Wanted Socialization,Yes,Yes,Yes
53281,Wanted Socialization,Yes,Yes,Yes
53609,Wanted Socialization,Yes,Yes,No
57194,Collaboration,Yes,No,No
58562,Collaboration,Yes,No,Partially
58758,Collaboration,Yes,Yes,No
58834,Wanted Socialization,Yes,Yes,Partially
59846,Wanted Socialization,Yes,Yes,Yes
63524,Distraction,No,No,No
63980,Wanted Socialization,Yes,No,Partially
64533,Collaboration,Yes,No,Partially
64536,Collaboration,Yes,No,No
72508,Collaboration,Yes,Yes,No
72546,Collaboration,Yes,No,Yes
72722,Wanted Socialization,No,No,No
72795,Distraction,No,No,Partially
73002,Wanted Socialization,Yes,No,No
73025,Collaboration,Yes,No,No
73553,Collaboration,Yes,Yes,No
73556,Wanted Socialization,Yes,No,No
73884,Wanted Socialization,Yes,No,No
73919,Collaboration,Yes,Yes,No
74276,Distraction,No,No,No
74291,Wanted Socialization,No,Yes,No
74531,Collaboration,Yes,No,Partially
74946,Wanted Socialization,Yes,Yes,No
78451,Distraction,No,No,Yes
78697,Collaboration,Yes,No,Partially
78797,Distraction,No,No,Yes
79235,Wanted Socialization,Yes,Yes,No
79237,Distraction,No,No,No
79787,Collaboration,Yes,Yes,No
79819,Distraction,Yes,Yes,Partially
79820,Distraction,Yes,Yes,No
79822,Collaboration,Yes,No,No
80318,Wanted Socialization,Yes,Yes,Partially
80321,Collaboration,Yes,Yes,No
80439,Distraction,No,No,Yes
80886,Distraction,No,No,Partially
80950,Collaboration,Yes,No,Yes
81047,Wanted Socialization,Yes,No,Partially
81187,Collaboration,Yes,Yes,No
81259,Wanted Socialization,Yes,Yes,No
81490,Distraction,No,No,Partially
81890,Collaboration,Yes,No,No
81891,Distraction,No,No,Yes
81910,Distraction,Yes,Yes,Yes
85121,Distraction,No,No,Partially
85124,Wanted Socialization,No,Yes,No
85599,Collaboration,Yes,No,No
85681,Distraction,No,No,No
85728,Collaboration,Yes,Yes,Yes
86141,Wanted Socialization,Yes,Yes,No
86465,Wanted Socialization,Yes,No,No
86471,Distraction,No,No,No
86504,Wanted Socialization,Yes,Yes,Partially
86792,Distraction,No,No,No
86804,Collaboration,Yes,No,No
87157,Wanted Socialization,Yes,Yes,Yes
87159,Wanted Socialization,Yes,No,Partially
87161,Collaboration,Yes,No,No
87450,Wanted Socialization,No,Yes,No
87502,Collaboration,Yes,No,Partially
87777,Wanted Socialization,Yes,No,No
87786,Collaboration,Yes,Yes,No
88381,Wanted Socialization,No,No,Partially
88392,Collaboration,Yes,Yes,No
90833,Collaboration,Yes,No,Partially
91615,Collaboration,Yes,Yes,No
91617,Wanted Socialization,Yes,Yes,No
91987,Wanted Socialization,Yes,No,Yes
91988,Wanted Socialization,No,Yes,Yes
91993,Wanted Socialization,No,Yes,Yes
92000,Distraction,No,Yes,Yes
92017,Distraction,Yes,No,Partially
92535,Wanted Socialization,Yes,Yes,Yes
92540,Distraction,No,Yes,Partially
92542,Collaboration,No,No,Yes
92696,Collaboration,Yes,Yes,No
92984,Wanted Socialization,No,Yes,No
92986,Collaboration,Yes,Yes,Yes
92988,Collaboration,Yes,Yes,Yes
93323,Wanted Socialization,No,No,No
93407,Collaboration,Yes,Yes,Yes
93420,Distraction,No,Yes,No
93776,Collaboration,Yes,Yes,No
93778,Distraction,No,Yes,Yes
93779,Distraction,No,Yes,Yes
93782,Distraction,No,Yes,Yes
93783,Distraction,No,Yes,Yes
93785,Distraction,No,Yes,Yes
93791,Distraction,No,No,Yes
93901,Distraction,No,No,Partially
94152,Collaboration,Yes,No,No
94480,Collaboration,Yes,No,Partially
94610,Wanted Socialization,No,Yes,No
94692,Collaboration,Yes,No,Partially
94727,Distraction,No,No,Partially
95265,Distraction,No,No,No
97222,Collaboration,Yes,No,No
98052,Distraction,Yes,No,Yes
98242,Distraction,No,No,Partially
98524,Distraction,No,Yes,Yes
98527,Distraction,No,Yes,Yes
98653,Distraction,No,No,Partially
99068,Distraction,Yes,Yes,Yes
99069,Distraction,No,No,Yes
99091,Distraction,No,No,Partially
99110,Wanted Socialization,Yes,Yes,Yes
99165,Wanted Socialization,No,No,Partially
99721,Distraction,No,Yes,Yes
99729,Distraction,No,No,Yes
99736,Distraction,No,No,Yes
99866,Wanted Socialization,Yes,No,Partially
100049,Distraction,No,No,Yes
100214,Collaboration,Yes,No,No
100216,Collaboration,Yes,Yes,No
100826,Wanted Socialization,Yes,Yes,No
100830,Wanted Socialization,Yes,Yes,Yes
100844,Distraction,Yes,Yes,Yes
100848,Distraction,Yes,Yes,Yes
101548,Collaboration,Yes,Yes,No
101549,Wanted Socialization,Yes,Yes,Yes
101555,Collaboration,Yes,Yes,Partially
102598,Collaboration,Yes,No,Partially
102631,Collaboration,Yes,Yes,No
115500,Wanted Socialization,Yes,No,No
116204,Collaboration,Yes,Yes,No
117140,Wanted Socialization,No,Yes,No
120870,Collaboration,Yes,Yes,No
121169,Wanted Socialization,Yes,No,No
121388,Collaboration,Yes,Yes,No
121395,Wanted Socialization,Yes,Yes,No
121931,Collaboration,Yes,No,Partially
121942,Distraction,Yes,No,Yes
122055,Collaboration,No,No,Yes
122146,Collaboration,Yes,Yes,Yes
122147,Collaboration,No,No,No
122170,Collaboration,Yes,Yes,No
122583,Collaboration,Yes,Yes,Yes
123041,Wanted Socialization,Yes,No,Yes
125368,Collaboration,Yes,No,Partially
125520,Collaboration,Yes,No,Partially
128994,Wanted Socialization,No,No,No
129267,Wanted Socialization,No,Yes,No
129306,Wanted Socialization,Yes,No,No
129505,Wanted Socialization,Yes,No,Yes
129882,Wanted Socialization,Yes,Yes,Partially
130118,Distraction,No,No,Partially
130311,Distraction,No,No,Partially
130532,Distraction,No,No,Yes
130804,Collaboration,Yes,No,No
132093,Collaboration,No,No,No
132259,Collaboration,Yes,No,Yes
132264,Wanted Socialization,Yes,Yes,Partially
132413,Collaboration,Yes,No,Yes
132701,Distraction,Yes,Yes,Partially
132853,Wanted Socialization,Yes,No,Partially
132864,Wanted Socialization,Yes,Yes,Partially
133184,Collaboration,Yes,Yes,Yes
133288,Distraction,No,No,Partially
135707,Collaboration,Yes,No,Yes
135725,Distraction,Yes,No,No
135734,Collaboration,Yes,Yes,Yes
135765,Collaboration,Yes,No,Partially
135817,Collaboration,Yes,No,Partially
135840,Collaboration,Yes,Yes,Partially
135871,Collaboration,Yes,No,Partially
135938,Collaboration,Yes,No,Partially
135976,Collaboration,Yes,Yes,Yes
136247,Distraction,Yes,No,Partially
136308,Collaboration,Yes,No,Partially
136327,Collaboration,Yes,Yes,Yes
136487,Distraction,Yes,No,No
136938,Wanted Socialization,Yes,No,Partially
137007,Distraction,Yes,No,Partially
137078,Collaboration,Yes,Yes,Yes
137143,Collaboration,Yes,Yes,Yes
137231,Collaboration,Yes,Yes,Partially
137340,Collaboration,Yes,Yes,Yes
137914,Wanted Socialization,Yes,Yes,No
138045,Distraction,No,No,Partially
138168,Collaboration,Yes,Yes,Yes
138339,Wanted Socialization,Yes,No,Partially
139002,Collaboration,Yes,Yes,Yes
139003,Collaboration,Yes,Yes,Yes
139004,Collaboration,Yes,Yes,Yes
139009,Collaboration,Yes,Yes,Partially
139557,Collaboration,Yes,Yes,Yes
139558,Collaboration,Yes,Yes,Yes
139570,Collaboration,Yes,Yes,Yes
139588,Collaboration,Yes,Yes,Yes
139594,Collaboration,Yes,Yes,Yes
139595,Collaboration,Yes,Yes,Partially
139644,Collaboration,Yes,No,Partially
139685,Collaboration,Yes,Yes,Yes
139705,Collaboration,Yes,No,No
139846,Distraction,Yes,Yes,Partially
139909,Collaboration,Yes,Yes,Yes
140020,Collaboration,Yes,Yes,Yes
